personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
CHILD,1,45,0.32552627,0.07153107,-10.5969515,32.2903049,4151,2997.380064,2311.289384,24,0.11,-1.14E-05,-0.5,0.499988646,0.27361885,0.353557651,6.55E-05,0.00083881,3.55E-05,-0.13180138,0.026872175,0.24883348,2590.46268,20.37845623,0.034916937
CHILD,1,46,0.24029675,0.098440856,-10.764321,30.48704648,804,2117.693848,2283.271429,9,-0.09,0,-0.499982459,0.499982459,0.26619822,0.352339333,2.53E-05,-0.003437389,5.79E-05,-0.834547,0.00963556,0.092464923,1927.433164,20.28129567,0.040987087
FEMALE,0,0,0.29955813,0.28092006,-11.077183,27.11147094,1308,2464.387939,2695.347856,3,-0.2,-3.55E-18,-0.499984408,0.499984408,0.25077125,0.274881402,7.85E-06,0.000986361,-6.89E-05,-0.1089159,0.021241717,0.165298914,2275.215393,21.18039716,0.043316564
FEMALE,0,1,0.3392382,0.1282658,-11.747872,25.307096,2820,3143.323218,2854.829586,12,0.12,9.51E-18,-0.499979086,0.499979086,0.41899806,0.673565464,0.000109673,0.001147716,4.53E-05,-0.021687739,0.057394587,0.393591935,3140.235565,18.96526793,0.033241906
FEMALE,0,2,0.33873817,0.20237225,-16.221888,29.87620044,2538,3144.212901,3744.753337,19,0.08,-1.28E-05,-0.5,0.499987216,0.25125295,0.342961568,1.56E-06,0.000774997,1.10E-05,-0.045813438,0.022990212,0.200215404,2974.467542,21.95215689,0.031089895
FEMALE,0,3,0.31324267,0.019705642,-8.575224,25.02793169,637,2737.089359,4032.938762,20,0.25,-2.39E-17,-0.499986419,0.499986419,0.20798299,0.212224997,8.69E-05,-0.000429851,-1.71E-05,-0.03551987,0.039684244,0.287408007,2723.178085,20.94451677,0.031316602
FEMALE,0,4,0.28949016,0.32906204,-10.729494,27.64058399,1287,2703.878497,3377.150462,3,-0.25,-1.45E-05,-0.5,0.499985529,0.20053789,0.202648712,0.000132208,0.005983138,-5.46E-05,0.003664358,0.037794217,0.227092024,2584.461641,21.49184012,0.024732738
FEMALE,0,5,0.3134936,0.014150385,-14.227577,27.34662038,2398,2795.64958,3882.680894,6,-0.09,-4.69E-18,-0.499989957,0.499989957,0.25506285,0.347304659,-0.000139779,-0.000996903,0.000204641,-0.30298054,0.03147739,0.235742763,2669.736737,21.50716196,0.046597652
FEMALE,0,6,0.26764038,0.017241314,-12.931341,28.02901506,992,2900.205943,2204.934486,26,0.02,0,-0.49998882,0.49998882,0.18262719,0.157108466,-2.40E-08,0.008281676,6.33E-05,-0.029775398,0.021037806,0.238363694,2905.51157,22.71044688,0.015421714
FEMALE,0,7,0.27222082,0.44337186,-14.429685,25.07418326,705,2420.996733,4226.398022,17.5,-0.49,0,-0.499985789,0.499985789,0.19098236,0.180036779,-1.82E-05,0.00061801,0.000154639,-0.032524187,0.019034555,0.148250928,2114.694951,22.89617829,0.02145587
